geogname	lat	long
Avenue de la Porte de Choisy	48.8185967	2.3658821
Avenue de la Porte de Clignancourt	48.8997506	2.3441325
Avenue de la Porte de la Chapelle	48.9000926	2.3594929
Avenue de la Porte de la Plaine	48.829206	2.2923256
Avenue de la Porte de la Villette	48.8996204	2.3877648
Avenue de la Porte de Ménilmontant	48.8705899	2.4089454
Avenue de la Porte de Montmartre	48.8994228	2.336121
Avenue de la Porte de Montreuil	48.8537187	2.4118171
Avenue de la Porte de Montrouge	48.822009	2.3221887
Avenue de la Porte de Plaisance	48.829379	2.2957225
Avenue de la Porte de Saint-Ouen	48.8991971	2.329326
Avenue de la Porte de Sèvres	48.8349703	2.2777517
Avenue de la Porte de Vanves	48.8257889	2.3043434
Avenue de la Porte de Vincennes	48.8467511	2.4137226
Avenue de la Porte de Vitry	48.822844	2.3779237
Avenue de la Porte des Poissonniers	48.8998868	2.3523111
Avenue de la Porte des Ternes	48.8813567	2.2825017
Avenue de la Porte Didot	48.8259796	2.3104561
Avenue de la Porte d'Ivry	48.8203538	2.3716582
Avenue de la Porte d'Orléans	48.8208434	2.325546
Avenue de la Porte du Pré Saint-Gervais	48.8806025	2.4015279
Avenue de la Porte Molitor	48.8451232	2.2542947
Avenue de la Porte Pouchet	48.8980404	2.3232494
Avenue de la République	48.8650197	2.3758909
Avenue de la Sibelle	48.8256869	2.3382514
Avenue de la Soeur Rosalie	48.8319919	2.3536262
Avenue de la Tunisie	48.821275	2.3362938
Avenue de l'Abbé Roussel	48.8502173	2.27184
Avenue de Lamballe	48.8544936	2.2813856
Avenue de Laumière	48.8842461	2.3802002
Avenue de l'École de Joinville	48.8199036	2.4575088
Avenue de l'Hippodrome	48.8584963	2.2451366
Avenue de l'Hippodrome	48.8581016	2.2553029
Avenue de l'Observatoire	48.8404177	2.3367233
Avenue de l'Opéra	48.8666082	2.3340292
Avenue de Lowendal	48.8507617	2.3057404
Avenue de Malakoff	48.8750944	2.2839598
Avenue de Marigny	48.8690281	2.314787
Avenue de Messine	48.8764692	2.3129117
Avenue de Montespan	48.8655199	2.2776836
Avenue de Montmorency	48.8493129	2.2646201
Avenue de New York	48.8624984	2.2939522
Avenue de Nogent	48.8406514	2.4537056
Avenue de Paris, France	48.8455661	2.428443
Avenue de Pologne	48.8692792	2.2729305
Avenue de Provence	48.8750123	2.3343345
Avenue de Puebla	48.8781626	2.3800148
Avenue de Rouvray	48.8460812	2.2645051
Avenue de Saint-Cloud	48.853518	2.248993
Avenue de Saint-Mandé	48.8449589	2.4028083
Avenue de Saint-Ouen	48.893026	2.3274767
Avenue de Salonique	48.8822041	2.2838748
Avenue de Saxe	48.848107	2.3101196
Avenue de Ségur	48.8501512	2.3084561
Avenue de Selves	48.8677891	2.3120266
Avenue de Suffren	48.8515693	2.3002641
Avenue de Taillebourg	48.8493777	2.3973744
Avenue de Tourville	48.8539166	2.3106409
Avenue de Valois	48.880438	2.3127475
Avenue de Verdun	48.8765235	2.3621912
Avenue de Versailles	48.8439382	2.2702131
Avenue de Verzy	48.881473	2.287868
Avenue de Villars	48.8521909	2.3138489
Avenue de Villiers	48.8838652	2.3045667
Avenue de Wagram	48.8806652	2.3000451
Avenue Debidour	48.8814099	2.3970277
Avenue Delcassé	48.8728879	2.3147379
Avenue Delecourt	48.8457513	2.292308
Avenue Denfert-Rochereau	48.8365334	2.3344509
Avenue des Arts	48.8811338	2.2867265
Avenue des Chalets	48.855803	2.2692843
Avenue des Chasseurs	48.8871554	2.3060833
Avenue des Gobelins	48.8349168	2.3531753
Avenue des Nations Unies	48.8608268	2.2911467
Avenue des Pavillons	48.8820007	2.2879995
Avenue des Peupliers	48.8492164	2.2628344
Avenue des Portugais	48.8711136	2.2938962
Avenue des Sycomores	48.8502153	2.2626205
Avenue des Ternes	48.8792599	2.2916221
Avenue des Terroirs de France	48.831785	2.3882578
Avenue des Tilleuls	48.8507744	2.2638009
Avenue des Tribunes	48.8277413	2.4290763
Avenue Despréaux	48.8444796	2.2628062
Avenue d'Eylau	48.8640993	2.2854605
Avenue d'Iéna	48.8678965	2.2953654
Avenue d'Italie	48.8249696	2.3576846
Avenue d'Ivry	48.8237739	2.3648137
Avenue Dode de la Brunerie	48.8362703	2.2573747
Avenue Dorian	48.8477086	2.3946816
Avenue du Bel air	48.8465232	2.3974277
Avenue du Cimetière des Batignolles	48.8956023	2.312496
Avenue du Colonel Bonnet	48.8551289	2.2787256
Avenue du Colonel Henri Rol-Tanguy	48.8339246	2.3321917
Avenue du Coq	48.8752146	2.329906
Avenue du Dr Arnold Netter	48.8442861	2.4056089
Avenue du Dr Brouardel	48.8552745	2.2957544
Avenue du Dr Gley	48.8770813	2.4107878
Avenue du Dr Lannelongue	48.8186598	2.330795
Avenue du Général Balfourier	48.8449445	2.2601307
Avenue du Général Clavery	48.8361617	2.2599349
Avenue du Général Détrie	48.8534171	2.2984333
Avenue du Général Dodds	48.8338077	2.4052178
Avenue du Général Dubail	48.8535864	2.271343
Avenue du Général Eisenhower	48.8673129	2.3120737
Avenue du Général Ferrié	48.8568044	2.296359
Avenue du Général Laperrine	48.8341646	2.4072247
Avenue du Général Leclerc	48.8296204	2.3284023
Avenue du Général Lemonnier	48.8622695	2.3310046
Avenue du Général Maistre	48.8248134	2.3151383
Avenue du Général Mangin	48.8544936	2.2813856
Avenue du Général Messimy	48.8374397	2.409689
Avenue du Général Michel Bizot	48.8357607	2.4022874
Avenue du Général San Martin	48.8782508	2.3795624
Avenue du Général Sarrail	48.8454267	2.2558953
Avenue du Général Tripier	48.8546366	2.296767
Avenue du Mahatma Gandhi	48.8759842	2.2624917
Avenue du Maine	48.8365864	2.3233673
Avenue du Maréchal Fayolle	48.8685746	2.2712625
Avenue du Maréchal Gallieni	48.8608788	2.3132305
Avenue du Maréchal Lyautey	48.8508554	2.2591537
Avenue du Maréchal Maunoury	48.8600242	2.2650535
Avenue du Nouveau Conservatoire	48.8889422	2.3899211
Avenue du Parc de Passy	48.8562109	2.2826794
Avenue du Parc des Princes	48.8410259	2.254579
Avenue du Père Lachaise	48.8638711	2.3976064
Avenue du Polygone	48.8375387	2.4317187
Avenue du Président Kennedy	48.8544689	2.2835067
Avenue du Président Wilson	48.8647398	2.2945192
Avenue du Ranelagh	48.8584484	2.2687638
Avenue du Recteur Poincaré	48.8525567	2.2726518
Avenue du Square	48.849897	2.2635982
Avenue du Tremblay	48.8329564	2.4564009
Avenue du Trône	48.848155	2.397673
Avenue Duquesne	48.8516649	2.3102008
Avenue Dutuit	48.8662053	2.3156865
Avenue Edison	48.8291886	2.3608804
Avenue Edward Tuck	48.8654652	2.3173244
Avenue Elisée Reclus	48.858236	2.2979822
Avenue Emile Acollas	48.8521949	2.3005625
Avenue Emile Bergerat	48.8524302	2.2715684
Avenue Emile Deschanel	48.8558666	2.3016831
Avenue Emile et Armand Massard	48.8879163	2.2958589
Avenue Emile Laurent	48.8409711	2.4111451
Avenue Emile Pouvillon	48.8575251	2.2990836
Avenue Emile Zola	48.8465491	2.2861126
Avenue Erlanger	48.8475484	2.2619792
Avenue Ernest Renan	48.8317021	2.2867202
Avenue Ernest Reyer	48.8229714	2.3215654
Avenue Félicien Rops	48.8192711	2.3532513
Avenue Félix Faure	48.8401087	2.2854339
Avenue Ferdinand Buisson	48.8367986	2.2536216
Avenue Ferdousi	48.8794864	2.3092377
Avenue Foch	48.8726896	2.2846359
Avenue François Fresneau	48.8343046	2.4085799
Avenue Franco-Russe	48.8602183	2.2996418
Avenue Franklin Delano Roosevelt	48.8691386	2.3101155
Avenue Frédéric le Play	48.8542446	2.3041812
Avenue Frochot	48.8814404	2.3381147
Avenue Gabriel	48.868358	2.316329
Avenue Gambetta	48.8685366	2.4016266
Avenue George V	48.8682365	2.301356
Avenue Georges Bernanos	48.8407195	2.3374376
Avenue Georges Lafenestre	48.8248202	2.3106184
Avenue Georges Lafont	48.836308	2.2559045
Avenue Georges Mandel	48.8636623	2.2817351
Avenue Georges Risler	48.8410899	2.2614706
Avenue Gordon Bennett	48.8467787	2.2511094
Avenue Gourgaud	48.8861766	2.2973806
Avenue Gustave Eiffel	48.8579619	2.2954187
Avenue Gustave V de Suède	48.8616494	2.2899844
Avenue Henri Martin	48.8640865	2.2728779
Avenue Hoche	48.8761254	2.3006686
Avenue Hussein Ier de Jordanie	48.8617161	2.2890442
Avenue Ibsen	48.8658223	2.4119839
Avenue Ingres	48.8573565	2.2675582
Avenue Jean Aicard	48.8652926	2.3810814
Avenue Jean Jaurès	48.8861009	2.3830765
Avenue Jean Moulin	48.8261904	2.3229937
Avenue Joseph Bédier	48.8207682	2.3735845
Avenue Joseph Bouvard	48.8564548	2.2981765
Avenue Jules Janin	48.8602905	2.2757115
Avenue Junot	48.8891575	2.3363497
Avenue Kléber	48.868469	2.2912361
Avenue Lamoricière	48.844982	2.4122424
